年份,节日,主题,数据点,数值,单位,单位粒度,统计起止日,统计窗口,口径版本,指标口径类型,口径类型,数据性质,基期,假期天数,数值类型,采集日期,缺口标记,来源机构,报告/资料名,发布时间,可信度等级,URL,备注
2023,端午,新消费,2023端午档电影票房,9.10,亿元,亿元,2023-06-22 至 2023-06-24,3天,3天口径,支付清算额,行业协会计,实际,无(水平值),3,水平值,2023-06-25,,灯塔专业版（证券时报转引）,“端午经济”释放消费活力,2023-06-26,C,https://ima.qq.com/wiki/?shareId=874c4916625c2b68fc06e8d8e79b52bb2c8c9f29a667a6dc34c20d657815e059&mediaId=pdf_21029587bbfd3216117dc86f4e9abb7c_0890ea8b56a187285e5062403afdcd8b7435586163997859&action=openDetailDrawer&webFrom=10000171,影史端午档票房第二（仅次于2018年9.12亿）；观影人次2250.47万（历史同期第三）；平均票价40.4元
2023,端午,新消费,同程演唱会/音乐节周边商圈酒店订单,300,%,百分比,2023-06-22 至 2023-06-24,3天,3天口径,平台GMV,平台自披露,实际,无(水平值),3,水平值,2023-06-25,,同程旅行（搜狐转引）,OTA平台数据端午节文化游,2023-06-24,C,https://www.sohu.com/a/693028875_100106037,青岛凤凰音乐节等带动；平台自身口径
2023,端午,新消费,携程避暑消暑相关搜索热度环比,50,%,百分比,2023-06-22 至 2023-06-24,3天,3天口径,搜索量,平台自披露,实际,环比,3,水平值,2023-06-25,,携程（搜狐转引）,多家旅企端午数据出炉,2023-06-24,C,https://www.sohu.com/a/690291976_121687414,高温催热避暑；平台自身口径
2023,端午,新消费,美团/大众点评端午夜间消费同比,95,%,百分比,2023-06-22 至 2023-06-23,3天,3天口径,平台GMV,平台自披露,实际,同比,3,增长率,2023-06-25,,美团/大众点评（21世纪经济报道转引）,Vacation consumption sizzles,2023-06-27,C,https://www.21jingji.com/article/20230627/herald/fe0362dfbf687c55c4336ecf7265ace1.html,端午假期前两天夜间消费较去年假日同期+95%；平台自身口径
2023,端午,新消费,美团端午前两天生活服务消费额同比,60,%,百分比,2023-06-22 至 2023-06-23,3天,3天口径,平台GMV,平台自披露,实际,同比,3,增长率,2023-06-25,,美团/大众点评（21世纪经济报道转引）,Vacation consumption sizzles,2023-06-27,C,https://www.21jingji.com/article/20230627/herald/fe0362dfbf687c55c4336ecf7265ace1.html,跨地市游客日均消费同比+190%；住宿类与旅游景点类消费规模增速均近200%；平台自身口径
2023,端午,新消费,贵州村超榕江酒店订单,11,倍,倍数,2023-06-22 至 2023-06-24,3天,3天口径,平台GMV,平台自披露,实际,无(水平值),3,水平值,2023-06-25,,携程（搜狐转引）,OTA平台数据端午节文化游,2023-06-24,C,https://www.sohu.com/a/693028875_100106037,民俗文化乡村游；平台自身口径
2023,端午,新消费,飞猪海岛游/夜游商品预订量（同比）,56/130,%,百分比,2023-06-22 至 2023-06-24,3天,3天口径,平台GMV,平台自披露,实际,无(水平值),3,复合,2023-06-25,,飞猪（大众日报转引）,最火端午假期收官,2023-06-25,C,https://sd.dzwww.com/sdnews/202306/t20230625_12190006.htm,避暑玩法崛起；海岛游+56%、夜游+130%；平台自身口径
2023,端午,新消费,飞猪演唱会周边酒店预订量（较元旦）,15,倍,倍数,2023-06-22 至 2023-06-24,3天,3天口径,平台GMV,平台自披露,实际,无(水平值),3,水平值,2023-06-25,,飞猪（羊城晚报转引）,近五年最火端午,2023-06-21,C,https://news.ycwb.com/2023-06/21/content_52024656.htm,演出经济带动；平台自身口径
2023,端午,旅行社,携程呼伦贝尔私家团/黔东南度假/新疆租车,10倍/150%/430%,,倍数,2023-06-22 至 2023-06-24,3天,3天口径,平台GMV,平台自披露,实际,无(水平值),3,复合,2023-06-25,,携程（搜狐转引）,多家旅企端午数据出炉,2023-06-24,C,https://www.sohu.com/a/690291976_121687414,呼伦贝尔私家团同比+超10倍、黔东南度假产品+超150%、新疆租车+430%；平台自身口径
2023,端午,旅行社,途牛长线游出游人次占比,49,%,百分比,2023-06-22 至 2023-06-24,3天,3天口径,平台GMV,平台自披露,实际,无(水平值),3,水平值,2023-06-25,,途牛旅游网（搜狐转引）,多家旅企端午数据出炉,2023-06-24,C,https://www.sohu.com/a/690291976_121687414,长线目的地云南、甘青连线居前；部分平台口径
2023,端午,景区,243个国家级夜间文旅消费集聚区夜间客流,3625.3,万人次,人次,2023-06-22 至 2023-06-24,3天,3天口径,客流人次,官方总量,实际,较2022,3,水平值,2023-06-25,,文化和旅游部（数据监测）,2023年端午节假期文化和旅游市场情况,2023-06-24,A,https://mct.gov.cn/whzx/whyw/202306/t20230624_944663.htm,平均每个集聚区每夜4.97万人次；较2022年同期增长38.8%
2023,端午,景区,端午期间全国边检查验出入境人员,396.3,万人次,人次,2023-06-22 至 2023-06-24,3天,3天口径,客流人次,官方总量,实际,较2019,3,水平值,2023-06-25,,国家移民管理局（21世纪经济报道转引）,Vacation consumption sizzles during Dragon Boat Festival,2023-06-27,A,https://www.21jingji.com/article/20230627/herald/fe0362dfbf687c55c4336ecf7265ace1.html,日均132.1万人次；较2022年端午增长约2.3倍，为2019年端午的64.6%；入境204.8万/出境191.5万
2023,端午,消费宏观,上海线下消费支付金额,约180,亿元,亿元,2023-06-22 至 2023-06-24,3天,3天口径,商务部社零,官方总量,实际,无(水平值),3,水平值,2023-06-25,,上海市（央视网转引）,商旅文深度融合 假期消费市场活力释放,2023-06-25,A,https://news.cctv.com/2023/06/25/ARTIWnq1TPTbaV9J9k3OehNp230625.shtml,五五购物节；餐饮业支付27.8亿元、住宿业13.2亿元
2023,端午,消费宏观,休闲消费（美食/观影/避暑/露营）同比,18.5,%,百分比,2023-06-22 至 2023-06-24,3天,3天口径,商务部社零,官方总量,实际,同比,3,增长率,2023-06-25,,商务部（央视网转引）,商旅文深度融合 假期消费市场活力释放,2023-06-25,A,https://news.cctv.com/2023/06/25/ARTIWnq1TPTbaV9J9k3OehNp230625.shtml,品味美食、观影看展、避暑戏水、野餐露营等休闲消费
2023,端午,消费宏观,北京重点监测企业销售额,24.7,亿元,亿元,2023-06-22 至 2023-06-24,3天,3天口径,商务部社零,官方重点监测,实际,无(水平值),3,水平值,2023-06-25,,北京市商务局（央视网转引）,商旅文深度融合 假期消费市场活力释放,2023-06-25,A,https://news.cctv.com/2023/06/25/ARTIWnq1TPTbaV9J9k3OehNp230625.shtml,实体业态同比+29%；60个重点商圈客流量2068.1万人次、同比+76.8%
2023,端午,消费宏观,广东重点餐饮企业销售额,6745.61,万元,万元,2023-06-22 至 2023-06-24,3天,3天口径,商务部社零,官方总量,实际,同比,3,水平值,2023-06-25,,广东省商务厅（央视网转引）,商旅文深度融合 假期消费市场活力释放,2023-06-25,A,https://news.cctv.com/2023/06/25/ARTIWnq1TPTbaV9J9k3OehNp230625.shtml,同比+5.6%
2023,端午,消费宏观,重庆端午累计消费同比,12.2,%,百分比,2023-06-22 至 2023-06-24,3天,3天口径,商务部社零,官方总量,实际,同比,3,增长率,2023-06-25,,重庆市（央视网转引）,商旅文深度融合 假期消费市场活力释放,2023-06-25,A,https://news.cctv.com/2023/06/25/ARTIWnq1TPTbaV9J9k3OehNp230625.shtml,较2019年同期+2.6%；中心城区主要商圈重点监测企业零售额同比+18.7%
2023,端午,消费宏观,重点监测企业粽子销售额同比,64.3,%,百分比,2023-06-22 至 2023-06-24,3天,3天口径,商务部社零,官方重点监测,实际,同比,3,增长率,2023-06-25,,商务部（央视网转引）,商旅文深度融合 假期消费市场活力释放,2023-06-25,A,https://news.cctv.com/2023/06/25/ARTIWnq1TPTbaV9J9k3OehNp230625.shtml,节令民俗商品销售明显增长
2023,端午,消费宏观,金银珠宝/体育用品销售额同比,13.6/3.4,%,百分比,2023-06-22 至 2023-06-24,3天,3天口径,商务部社零,官方总量,实际,同比,3,复合,2023-06-25,,商务部（央视网转引）,商旅文深度融合 假期消费市场活力释放,2023-06-25,A,https://news.cctv.com/2023/06/25/ARTIWnq1TPTbaV9J9k3OehNp230625.shtml,升级类商品；金银珠宝+13.6%、体育用品+3.4%
2023,端午,消费宏观,陕西570家零售餐饮样本销售额,7.73,亿元,亿元,2023-06-22 至 2023-06-24,3天,3天口径,商务部社零,官方重点监测,实际,较2019,3,水平值,2023-06-25,,陕西省商务厅（央视网转引）,商旅文深度融合 假期消费市场活力释放,2023-06-25,A,https://news.cctv.com/2023/06/25/ARTIWnq1TPTbaV9J9k3OehNp230625.shtml,同比+12.3%、较2019+9.5%；餐饮收入超4300万、同比+22.0%
2023,端午,消费宏观,青海122家重点零售餐饮企业销售额,1.09,亿元,亿元,2023-06-22 至 2023-06-24,3天,3天口径,商务部社零,官方总量,实际,较2022,3,水平值,2023-06-25,,青海省商务厅（商务部转引）,青海省端午消费购销两旺,2023-06-27,A,https://cif.mofcom.gov.cn/newsite/html/qinghai/html/725324/2023/6/27/1687828242860.html,较2022年增长27.58%；重点餐饮企业营业额较2022+76.3%
2023,端午,游客画像,端午18-33岁旅客群体占比,超四成,,百分比,2023-06-22 至 2023-06-24,3天,3天口径,客流人次,平台自披露,实际,无(水平值),3,定性,2023-06-25,,去哪儿（澎湃转引）,五年最火端午收官,2023-06-25,C,https://m.thepaper.cn/detail/23603768,端午属年轻人旅游节；定性素材
2023,端午,酒店,携程热门城市酒店预订（较2019）,1.6,倍,倍数,2023-06-22 至 2023-06-24,3天,3天口径,酒店间夜,平台自披露,实际,较2019,3,水平值,2023-06-25,,去哪儿（21世纪经济报道转引）,Vacation consumption sizzles,2023-06-27,C,https://www.21jingji.com/article/20230627/herald/fe0362dfbf687c55c4336ecf7265ace1.html,国内热门城市酒店预订量超2019同期1.6倍；平台自身口径
2023,端午,酒店,杭州市酒店总体入住率,50.4,%,百分比,2023-06-22 至 2023-06-24,3天,3天口径,酒店间夜,官方总量,实际,无(水平值),3,水平值,2023-06-25,,杭州市文化广电旅游局（腾讯转引）,杭州端午接待外地游客,2023-06-25,C,https://news.qq.com/rain/a/20230625A01UYK00,假期短且梅雨，省外游客占比降至41%
2023,端午,酒店,途家端午民宿预订量（较2019）,30,%,百分比,2023-06-22 至 2023-06-24,3天,3天口径,酒店间夜,平台自披露,实际,较2019,3,水平值,2023-06-25,,途家民宿（国际商报转引）,端午消费尽显中国经济澎湃动能,2023-06-25,C,http://sass.cn/109011/72439.aspx,每晚平均支付价格497元；平台自身口径，非全市场
2023,端午,酒店,郑州市全市酒店平均出租率,52.1,%,百分比,2023-06-22 至 2023-06-24,3天,3天口径,酒店间夜,官方总量,实际,无(水平值),3,水平值,2023-06-25,,郑州市文化广电和旅游局（澎湃转引）,郑州共接待游客514.1万人次,2023-06-24,C,https://m.thepaper.cn/detail/23599622,登封市星级饭店出租率87%
2023,暑假,交通出行,2024暑期铁路发送旅客预测,8.9,亿人次,人次,2023-07-01 至 2023-08-31,7-8月合计,62天口径,铁路客运量,测算,预计,较节假日X,62,水平值,2023-09-06,预判待回填,AI前瞻,内部测算,2023-09-06,D,,"预测ID=2024暑假-F03;中心值8.9亿/区间8.6-9.2亿/置信度中;内部测算,无外部URL"
2023,暑假,交通出行,全国水路暑运发送旅客,6251.23,万人次,人次,2023-07-01 至 2023-08-31,7-8月合计,62天口径,水路客运量,官方营业性(不含自驾),实际,无,62,水平值,2023-09-06,空,交通运输部海事局,中国水运网,2023-09-01,A,https://www.zgsyb.com/news.html?aid=662708,同比+76.33%
2023,暑假,交通出行,民航7月旅客运输量,6242.8,万人次,人次,2023-07-01 至 2023-07-31,7月单月,7月单月口径,民航客运量,官方营业性(不含自驾),实际,无,62,水平值,2023-09-06,空,民航局,新华网/民航局,2023-08,A,https://www.toutiao.com/article/7276228937485713931/,较2019+5.3%创月度新高
2023,暑假,交通出行,民航7月旅客运输量较2019增幅,5.3,%,百分比,2023-07-01 至 2023-07-31,7月单月,7月单月口径,民航客运量,官方营业性(不含自驾),实际,较2019,62,增长率,2023-09-06,空,民航局,新华网/民航局,2023-08,A,https://www.toutiao.com/article/7276228937485713931/,
2023,暑假,交通出行,民航8月旅客运输量,6396.4,万人次,人次,2023-08-01 至 2023-08-31,8月单月,8月单月口径,民航客运量,官方营业性(不含自驾),实际,无,62,水平值,2023-09-06,空,民航局,新华网/民航局,2023-09,A,https://www.toutiao.com/article/7276228937485713931/,同比+98.0%;较2019+4.5%
2023,暑假,交通出行,民航8月旅客运输量较2019增幅,4.5,%,百分比,2023-08-01 至 2023-08-31,8月单月,8月单月口径,民航客运量,官方营业性(不含自驾),实际,较2019,62,增长率,2023-09-06,空,民航局,新华网/民航局,2023-09,A,https://www.toutiao.com/article/7276228937485713931/,
2023,暑假,交通出行,民航暑运(7.1-8.31)运输旅客,1.3,亿人次,人次,2023-07-01 至 2023-08-31,7-8月合计,62天口径,民航客运量,官方营业性(不含自驾),实际,无,62,水平值,2023-09-06,空,民航局,民航局数据,2023-09-02,A,https://www.caac.gov.cn/big5/www.caac.gov.cn/XWZX/MHYW/202309/t20230902_221250.html,较2019+7.4%
2023,暑假,交通出行,民航暑运较2019同期增幅,7.4,%,百分比,2023-07-01 至 2023-08-31,7-8月合计,62天口径,民航客运量,官方营业性(不含自驾),实际,较2019,62,增长率,2023-09-06,空,民航局,民航局数据,2023-09-02,A,https://www.caac.gov.cn/big5/www.caac.gov.cn/XWZX/MHYW/202309/t20230902_221250.html,
2023,暑假,交通出行,铁路暑运(7.1-8.31)发送旅客,8.3,亿人次,人次,2023-07-01 至 2023-08-31,7-8月合计,62天口径,铁路客运量,官方营业性(不含自驾),实际,无,62,水平值,2023-09-06,空,国铁集团,中国政府网/国铁集团,2023-09,A,https://big5.www.gov.cn/gate/big5/www.gov.cn/yaowen/liebiao/202309/content_6901568.htm,创历史同期新高;单日最高1569万
2023,暑假,交通出行,铁路暑运单日最高发送旅客,1569,万人次,人次,2023-07-01 至 2023-08-31,7-8月合计,62天口径,铁路客运量,官方营业性(不含自驾),实际,无,62,水平值,2023-09-06,空,国铁集团,中国政府网/国铁集团,2023-09,A,https://big5.www.gov.cn/gate/big5/www.gov.cn/yaowen/liebiao/202309/content_6901568.htm,
2023,暑假,交通出行,铁路暑运日均开行旅客列车,10269,列,列,2023-07-01 至 2023-08-31,7-8月合计,62天口径,铁路客运量,官方营业性(不含自驾),实际,无,62,水平值,2023-09-06,空,国铁集团,中国政府网/国铁集团,2023-09,A,https://big5.www.gov.cn/gate/big5/www.gov.cn/yaowen/liebiao/202309/content_6901568.htm,
2023,暑假,平台渠道,同程工厂游产品预订热度同比增幅,36,%,百分比,2023-07-01 至 2023-08-31,7-8月合计,62天口径,平台GMV,平台自披露,实际,同比,62,增长率,2023-09-06,空,同程旅行,中国旅游网/同程报告,2023,C,http://www.cntour.cn,该平台自身口径
2023,暑假,平台渠道,携程出境机票均价同比降幅,66,%,百分比,2023-07-01 至 2023-08-31,7-8月合计,62天口径,平台GMV,平台自披露,实际,同比,62,增长率,2023-09-06,空,携程,《2023年暑期出游市场报告》,2023-08-30,C,https://big5.china.com.cn/gate/big5/travel.china.com.cn/txt/2023-08/30/content_109762579.shtml,高于2019同期15%;该平台自身口径
2023,暑假,平台渠道,携程出境跟团订单环比增幅,60,%,百分比,2023-07-01 至 2023-08-31,7-8月合计,62天口径,平台GMV,平台自披露,实际,环比,62,增长率,2023-09-06,空,携程,《2023年暑期出游市场报告》,2023-08-30,C,https://big5.china.com.cn/gate/big5/travel.china.com.cn/txt/2023-08/30/content_109762579.shtml,近六成;亲子家庭占52%;该平台自身口径
2023,暑假,平台渠道,携程国内单程含税机票均价,1085,元,元,2023-07-01 至 2023-08-31,7-8月合计,62天口径,平台GMV,平台自披露,实际,无,62,水平值,2023-09-06,空,携程,《2023年暑期出游市场报告》,2023-08-30,C,https://big5.china.com.cn/gate/big5/travel.china.com.cn/txt/2023-08/30/content_109762579.shtml,该平台自身口径
2023,暑假,平台渠道,携程暑期高铁游订单环比增幅(截至8.23),51,%,百分比,2023-07-01 至 2023-08-31,7-8月合计,62天口径,平台GMV,平台自披露,实际,环比,62,增长率,2023-09-06,空,携程,《2023年暑期出游市场报告》,2023-08-30,C,https://big5.china.com.cn/gate/big5/travel.china.com.cn/txt/2023-08/30/content_109762579.shtml,该平台自身口径
2023,暑假,平台渠道,第三批出境游通知后携程出境搜索增长,超20倍,倍,倍,2023-07-01 至 2023-08-31,7-8月合计,62天口径,搜索量,平台自披露,实际,无,62,定性,2023-09-06,空,携程,文旅部第三批出境游解读(携程数据),2023-08-10,C,https://zwgk.mct.gov.cn/zfxxgkml/zcfg/zcjd/202308/t20230829_946879.html,国庆出发时段最受关注;该平台自身口径
2023,暑假,平台渠道,途牛高端出境(南北极邮轮)预订超2019同期,是,定性,,2023-07-01 至 2023-08-31,7-8月合计,62天口径,平台GMV,平台自披露,实际,无,62,定性,2023-09-06,空,途牛,南方+报道,2023-09-01,C,https://static.nfapp.southcn.com/content/202309/01/c8053575.html?enterColumnId=13707,该平台自身口径
2023,暑假,平台渠道,飞猪出境旅游商品成交额同比增幅,800,%,百分比,2023-07-01 至 2023-08-31,7-8月合计,62天口径,平台GMV,平台自披露,实际,同比,62,增长率,2023-09-06,空,飞猪,南方+/搜狐报道,2023-09-01,C,https://static.nfapp.southcn.com/content/202309/01/c8053575.html?enterColumnId=13707,翻8倍以上;该平台自身口径
2023,暑假,平台渠道,飞猪国际机票暑期预订量同比增幅,1200,%,百分比,2023-07-01 至 2023-08-31,7-8月合计,62天口径,平台GMV,平台自披露,实际,同比,62,增长率,2023-09-06,空,飞猪,南方+/搜狐报道,2023-09-01,C,https://static.nfapp.southcn.com/content/202309/01/c8053575.html?enterColumnId=13707,增长12倍;该平台自身口径
2023,暑假,总体,2024暑期国内出游人次预测,19.5,亿人次,人次,2023-07-01 至 2023-08-31,7-8月合计,62天口径,旅游总花费,测算,预计,较节假日X,62,水平值,2023-09-06,预判待回填,AI前瞻,内部测算,2023-09-06,D,,"预测ID=2024暑假-F01;中心值19.5亿/区间19.0-20.0亿/置信度中;内部测算,无外部URL"
2023,暑假,总体,2024暑期国内出游总花费预测,1.33,万亿元,万亿元,2023-07-01 至 2023-08-31,7-8月合计,62天口径,旅游总花费,测算,预计,较节假日X,62,水平值,2023-09-06,预判待回填,AI前瞻,内部测算,2023-09-06,D,,"预测ID=2024暑假-F02;中心值1.33万亿/区间1.28-1.38万亿/置信度中;内部测算,无外部URL"
2023,暑假,总体,暑期人均单次旅游消费(推算),658.0,元,元/人次,2023-07-01 至 2023-08-31,7-8月合计,62天口径,旅游总花费,测算,推算,无,62,水平值,2023-09-06,测算待核,AI推算,内部测算,2023-09-06,D,,"总花费1.21万亿÷18.39亿人次;测算待核;无公开URL,替代验证路径:总花费÷人次"
2023,暑假,总体,暑期人均每日消费(推算),106.1,元,元/人天,2023-07-01 至 2023-08-31,7-8月合计,62天口径,旅游总花费,测算,推算,无,62,水平值,2023-09-06,测算待核,AI推算,内部测算,2023-09-06,D,,"总花费÷人次÷62天;人均per-day强制D;测算待核;无公开URL,替代验证路径:总花费÷人次÷天数"
2023,暑假,总体,暑期全国自驾出行量缺项说明,缺项,定性,人次,2023-07-01 至 2023-08-31,7-8月合计,62天口径,公路人员流动量,弱溯源,实际,无,62,定性,2023-09-06,全国总量缺项,内部标注,口径声明,2023-09-06,D,,2023暑期无全域自驾流动量公开口径(交通运输部跨区域口径2024起发布);全国总量缺项;无公开URL
2023,暑假,总体,暑期出游人数占全年国内旅游比重,28.1,%,百分比,2023-07-01 至 2023-08-31,7-8月合计,62天口径,旅游总花费,官方总量,实际,无,62,水平值,2023-09-06,空,中国旅游研究院,《2023年暑期旅游市场监测报告》,2023-09-04,A,https://www.mct.gov.cn/whzx/zsdw/zglyyjy/202309/t20230904_947007.html,
2023,暑假,总体,暑期国内旅游人数(6-8月),18.39,亿人次,人次,2023-07-01 至 2023-08-31,7-8月合计,62天口径,旅游总花费,官方总量,实际,无,62,水平值,2023-09-06,空,中国旅游研究院,《2023年暑期旅游市场监测报告》,2023-09-04,A,https://www.mct.gov.cn/whzx/zsdw/zglyyjy/202309/t20230904_947007.html,监测口径为6-8月
2023,暑假,总体,暑期国内旅游收入(6-8月),1.21,万亿元,万亿元,2023-07-01 至 2023-08-31,7-8月合计,62天口径,旅游总花费,官方总量,实际,无,62,水平值,2023-09-06,空,中国旅游研究院,《2023年暑期旅游市场监测报告》,2023-09-04,A,https://www.mct.gov.cn/whzx/zsdw/zglyyjy/202309/t20230904_947007.html,官方最终口径
2023,暑假,总体,暑期旅游收入占全年国内旅游收入比重,28.7,%,百分比,2023-07-01 至 2023-08-31,7-8月合计,62天口径,旅游总花费,官方总量,实际,无,62,水平值,2023-09-06,空,中国旅游研究院,《2023年暑期旅游市场监测报告》,2023-09-04,A,https://www.mct.gov.cn/whzx/zsdw/zglyyjy/202309/t20230904_947007.html,
2023,暑假,总体,暑期景区门票均价同比涨幅,4.63,%,百分比,2023-07-01 至 2023-08-31,7-8月合计,62天口径,客流人次,官方总量,实际,同比,62,增长率,2023-09-06,空,中国旅游研究院,《2023年暑期旅游市场监测报告》,2023-09-04,A,https://www.mct.gov.cn/whzx/zsdw/zglyyjy/202309/t20230904_947007.html,
2023,暑假,总体,暑期进港机票均价同比涨幅,14.17,%,百分比,2023-07-01 至 2023-08-31,7-8月合计,62天口径,旅游总花费,官方总量,实际,同比,62,增长率,2023-09-06,空,中国旅游研究院,《2023年暑期旅游市场监测报告》,2023-09-04,A,https://www.mct.gov.cn/whzx/zsdw/zglyyjy/202309/t20230904_947007.html,
2023,暑假,总体,暑期酒店客房均价同比涨幅,46.88,%,百分比,2023-07-01 至 2023-08-31,7-8月合计,62天口径,酒店RevPAR,官方总量,实际,同比,62,增长率,2023-09-06,空,中国旅游研究院,《2023年暑期旅游市场监测报告》,2023-09-04,A,https://www.mct.gov.cn/whzx/zsdw/zglyyjy/202309/t20230904_947007.html,
2023,暑假,总体,跨省出游前六省占比,35.78,%,百分比,2023-07-01 至 2023-08-31,7-8月合计,62天口径,旅游总花费,官方总量,实际,无,62,水平值,2023-09-06,空,中国旅游研究院,《2023年暑期旅游市场监测报告》,2023-09-04,A,https://www.mct.gov.cn/whzx/zsdw/zglyyjy/202309/t20230904_947007.html,京冀豫苏鲁皖
2023,暑假,新消费,2023暑期档总票房(含预售),200,亿元,亿元,2023-07-01 至 2023-08-31,7-8月合计,62天口径,演出票房,待核,实际,无,62,水平值,2023-09-06,空,灯塔专业版,新华社/灯塔数据,2023-08-28,C,https://hebei.ifeng.com/c/8SiW5v3vWvQ,早期含预售预估;官方最终206.19亿见补充行S1
2023,暑假,新消费,周杰伦海口演唱会创造旅游收入,10,亿元,亿元,2023-07-01 至 2023-08-31,7-8月合计,62天口径,旅游总花费,平台自披露,实际,无,62,水平值,2023-09-06,空,同程/新浪,暑期旅行新潮流,2023-07,C,https://k.sina.cn/article_1653603955_628ffe7302001h7oz.html,该平台自身口径
2023,暑假,新消费,周杰伦海口演唱会吸引游客,15,万人,人次,2023-07-01 至 2023-08-31,7-8月合计,62天口径,客流人次,平台自披露,实际,无,62,水平值,2023-09-06,空,同程/新浪,暑期旅行新潮流,2023-07,C,https://k.sina.cn/article_1653603955_628ffe7302001h7oz.html,创造旅游收入近10亿;该平台自身口径
2023,暑假,新消费,抖音贵州村超相关话题数,17000,个,个,2023-07-01 至 2023-08-31,7-8月合计,62天口径,播放量,平台自披露,实际,无,62,水平值,2023-09-06,空,抖音/中国政府网,2023暑期文旅盘点,2023-09,C,https://big5.www.gov.cn/gate/big5/www.gov.cn/yaowen/liebiao/202309/content_6902336.htm,该平台自身口径
2023,暑假,新消费,抖音音乐节演唱会相关话题播放量,360.7,亿次,次,2023-07-01 至 2023-08-31,7-8月合计,62天口径,播放量,平台自披露,实际,无,62,水平值,2023-09-06,空,抖音,2023暑期文旅数据报告/新华社,2023-08-31,C,https://hebei.ifeng.com/c/8SiW5v3vWvQ,带动武汉景区订单+72%、西安+70%;该平台自身口径
2023,暑假,新消费,暑期全国演出场次,11.02,万场,场次,2023-07-01 至 2023-08-31,7-8月合计,62天口径,演出票房,行业协会计,实际,无,62,水平值,2023-09-06,空,中国演出行业协会,暑期全国演出市场监测(人民日报),2023-09-05,B,https://paper.people.com.cn/rmrb/html/2023-09/05/nw.D110000renmrb_20230905_2-13.htm,较去年+301.53%
2023,暑假,新消费,暑期全国演出票房收入,102.77,亿元,亿元,2023-07-01 至 2023-08-31,7-8月合计,62天口径,演出票房,行业协会计,实际,无,62,水平值,2023-09-06,空,中国演出行业协会,暑期全国演出市场监测(人民日报),2023-09-05,B,https://paper.people.com.cn/rmrb/html/2023-09/05/nw.D110000renmrb_20230905_2-13.htm,较去年+792.41%
2023,暑假,新消费,暑期全国观演人数,3256.19,万人次,人次,2023-07-01 至 2023-08-31,7-8月合计,62天口径,演出票房,行业协会计,实际,无,62,水平值,2023-09-06,空,中国演出行业协会,暑期全国演出市场监测(人民日报),2023-09-05,B,https://paper.people.com.cn/rmrb/html/2023-09/05/nw.D110000renmrb_20230905_2-13.htm,较去年+806.70%
2023,暑假,新消费,榕江抖音餐饮订单同比增长,327,%,百分比,2023-07-01 至 2023-08-31,7-8月合计,62天口径,平台GMV,平台自披露,实际,同比,62,增长率,2023-09-06,空,抖音/中国政府网,2023暑期文旅盘点,2023-09,C,https://big5.www.gov.cn/gate/big5/www.gov.cn/yaowen/liebiao/202309/content_6902336.htm,该平台自身口径
2023,暑假,新消费,美团夜游搜索量同比增幅,80,%,百分比,2023-07-01 至 2023-08-31,7-8月合计,62天口径,搜索量,平台自披露,实际,同比,62,增长率,2023-09-06,空,美团,中国政府网/美团文旅研究院,2023-09,C,https://big5.www.gov.cn/gate/big5/www.gov.cn/yaowen/liebiao/202309/content_6902336.htm,该平台自身口径
2023,暑假,新消费,重庆研学旅游产品订单量同比增幅,3000,%,百分比,2023-07-01 至 2023-08-31,7-8月合计,62天口径,平台GMV,平台自披露,实际,同比,62,增长率,2023-09-06,空,携程,"""重庆""""最热""""暑期档""",2023-08-21,C,https://cq.people.com.cn/BIG5/n2/2023/0821/c367668-40538696.html,超30倍;该平台自身口径
2023,暑假,景区目的地,抖音暑期旅游内容搜索量同比增幅,147,%,百分比,2023-07-01 至 2023-08-31,7-8月合计,62天口径,搜索量,平台自披露,实际,同比,62,增长率,2023-09-06,空,抖音生活服务,2023暑期文旅数据报告,2023-08-29,C,https://www.xxrb.com.cn/html/2023/lvyou_0906/33094.html,该平台自身口径
2023,暑假,景区目的地,抖音暑期旅游打卡数,4,亿次,次,2023-07-01 至 2023-08-31,7-8月合计,62天口径,播放量,平台自披露,实际,无,62,水平值,2023-09-06,空,抖音生活服务,2023暑期文旅数据报告,2023-08-29,C,https://www.xxrb.com.cn/html/2023/lvyou_0906/33094.html,引用抖音数据;该平台自身口径
2023,暑假,景区目的地,携程博物馆类景区门票预订同比增幅,200,%,百分比,2023-07-01 至 2023-08-31,7-8月合计,62天口径,平台GMV,平台自披露,实际,同比,62,增长率,2023-09-06,空,携程,《2023年暑期出游市场报告》,2023-08-30,C,https://big5.china.com.cn/gate/big5/travel.china.com.cn/txt/2023-08/30/content_109762579.shtml,该平台自身口径
2023,暑假,景区目的地,携程国内景区门票预订恢复至2019比例,315,%,百分比,2023-07-01 至 2023-08-31,7-8月合计,62天口径,平台GMV,平台自披露,实际,无,62,水平值,2023-09-06,空,携程,《2023年暑期出游市场报告》,2023-08-30,C,https://big5.china.com.cn/gate/big5/travel.china.com.cn/txt/2023-08/30/content_109762579.shtml,该平台自身口径
2023,暑假,景区目的地,暑期出入境内地居民,4119,万人次,人次,2023-07-01 至 2023-08-31,7-8月合计,62天口径,客流人次,官方总量,实际,无,62,水平值,2023-09-06,空,国家移民管理局,国家移民管理局统计,2023-08-31,A,https://www.nia.gov.cn/News/news/content.jsp?id=1728029,环比+26.24%
